id,name,tax_no,start_date,end_date,created_by,updated_by
343,Epacridaceae,gsnzarvdmjhoufyxkw,26/06/2021,23/05/2022,835,366
344,Hymenophyllaceae,yshdxrtafbwgqm,10/09/2021,22/12/2021,529,200
345,Asteraceae,unksgwiyljrtavf,31/07/2021,16/01/2022,737,179
346,Hypnaceae,trplusbciq,18/07/2021,23/06/2021,115,784
347,Haloragaceae,arlwfidjextuvyo,03/02/2022,22/12/2021,280,529
348,Aizoaceae,fevnklqtidzguar,02/01/2022,07/04/2022,146,426
349,Brassicaceae,ljbmirnfwgdktyquvsoe,19/06/2021,11/03/2022,125,276
350,Pottiaceae,bsalpiuxrvq,17/11/2021,14/03/2022,869,12
351,Chenopodiaceae,wiaspojqfvukdlgmnbe,25/07/2021,03/11/2021,826,144
352,Poaceae,sxvzbwlecqpgtjdhrm,28/04/2022,29/05/2022,857,293
353,Araceae,qpkgulvrihaecbnzotd,04/10/2021,21/10/2021,350,528
354,Liliaceae,hlydqtcrebgxn,23/03/2022,29/11/2021,86,522
355,Poaceae,ahvcqwbpjx,13/11/2021,11/11/2021,570,927
356,Euphorbiaceae,eqodramlinp,18/01/2022,01/10/2021,842,974
357,Chenopodiaceae,dpstcoyrlnxigu,16/12/2021,09/03/2022,867,221
358,Ranunculaceae,fxsmvpolnqtejyhbzdw,22/01/2022,18/02/2022,609,498
359,Asteraceae,vmclqzyoxwgdbsfrjah,02/03/2022,12/12/2021,374,143
360,Fabaceae,lscbiaofhwkqrtp,31/12/2021,22/01/2022,494,160
361,Asteraceae,brmcqtwisyjalxdfhge,30/10/2021,22/07/2021,893,751
362,Zingiberaceae,pxiqbgzmsoyvdtacf,01/09/2021,22/12/2021,199,661
363,Cyperaceae,fsnvictqwum,27/08/2021,15/12/2021,245,335
364,Onagraceae,jwyfngeslptkxrczvdou,27/08/2021,25/09/2021,158,432
365,Rubiaceae,ioatrbuzqmkgysvfx,29/06/2021,10/05/2022,423,337
366,Cyperaceae,jqxzdmycgkiwr,02/01/2022,10/04/2022,11,106
367,Papaveraceae,toysemxadjkzfi,12/06/2021,23/07/2021,918,977
368,Lamiaceae,sahgbetxwoqkuv,14/03/2022,30/11/2021,456,601
369,Asteraceae,mduobwhxgiae,24/11/2021,10/10/2021,929,493
370,Rosaceae,uqhxfplyiomcgw,24/06/2021,16/08/2021,16,724
371,Asteraceae,snxigqzbevcfljk,17/07/2021,15/11/2021,557,581
372,Passifloraceae,dnybfzaurwkocpmgt,29/06/2021,07/03/2022,100,209
373,Theaceae,ejwtvxsbczai,06/07/2021,12/01/2022,251,302
374,Loasaceae,bajydnqwfkzghutsp,10/10/2021,16/06/2021,242,384
375,Loganiaceae,eysgfzwkxcjhodmnqb,25/10/2021,20/05/2022,207,765
376,Passifloraceae,kicjmydgenvos,06/05/2022,12/11/2021,453,429
377,Clusiaceae,xduqgthprykl,09/04/2022,18/03/2022,823,347
378,Lecideaceae,fcalvnpomx,01/09/2021,25/03/2022,263,689
379,Orchidaceae,kdbtxmjcevh,25/04/2022,11/05/2022,466,861
380,Asteraceae,uypoimvfcwdkzjab,11/12/2021,10/03/2022,364,897
381,Onagraceae,qtymnerbdfzkxipla,28/04/2022,20/06/2021,668,125
382,Apiaceae,ozxpmrgsbjketfiyuqac,24/03/2022,05/06/2022,586,702
383,Asteraceae,gptaediymrvfw,12/07/2021,13/02/2022,855,555
384,Ranunculaceae,tmxaousjleqbfigpd,01/11/2021,22/03/2022,965,587
385,Cyperaceae,cxuwisehlkapgdt,10/11/2021,24/12/2021,632,719
386,Rosaceae,jalyoqtmwfdg,20/10/2021,11/02/2022,341,559
387,Bryaceae,byjztmlohsrfdvn,22/12/2021,26/03/2022,754,359
388,Polygonaceae,tnbpgjemqlfvxhsykir,20/09/2021,01/02/2022,246,799
389,Poaceae,zepgofkjhd,13/08/2021,20/02/2022,799,449
390,Rosaceae,kzrjwpchsftglo,14/03/2022,16/03/2022,201,908
391,Scrophulariaceae,urqsmckzvdfwpghjyx,18/07/2021,03/06/2022,953,246
392,Pinaceae,tcmigkbjdypvx,25/03/2022,17/06/2021,530,486
393,Euphorbiaceae,mljkgvfpbczouyrwxd,11/04/2022,21/12/2021,999,937
394,Poaceae,vbrwcejxknhsiyoqup,31/10/2021,27/08/2021,427,838
395,Euphorbiaceae,jziyqvphgsrlcfdexkwu,20/11/2021,11/07/2021,876,499
396,Parmeliaceae,narzfbxiphdmcuoewvtk,21/04/2022,28/05/2022,428,819
397,Scrophulariaceae,dhxusrqyln,13/04/2022,10/08/2021,705,878
398,Scouleriaceae,jndlutxeygrzipcoh,11/02/2022,27/03/2022,550,770
399,Poaceae,wqryidlahpusxketg,10/06/2022,27/12/2021,910,492
400,Fabaceae,ipdayjgzvqexrf,29/11/2021,08/12/2021,154,462
401,Asteraceae,qoetpzbjyxrnmd,08/10/2021,12/10/2021,983,707
402,Cyperaceae,gelhiqwzrvmxdfscjp,16/03/2022,15/06/2021,539,440
403,Rosaceae,zhqumogwebaynxrtdkij,22/12/2021,15/05/2022,701,749
404,Apiaceae,tkhjqgdzbswayvo,31/07/2021,26/10/2021,343,130
405,Physciaceae,xgsaprmwfutenbzc,21/02/2022,31/10/2021,991,844
406,Asteraceae,fgwbuseamdvqhxpkj,12/10/2021,31/05/2022,144,518
407,Ranunculaceae,eohaxilnfpzrgkwt,11/08/2021,22/05/2022,920,991
408,Rhamnaceae,bzftmupvaywxenl,10/03/2022,23/12/2021,928,813
409,Fabaceae,ruiahwqdjmogvkc,11/10/2021,24/05/2022,364,934
410,Lecanoraceae,pdirwvekzhjbyxq,31/10/2021,08/05/2022,932,882
411,Scrophulariaceae,jihxcqnosfylvwbe,20/01/2022,13/09/2021,912,549
412,Fabaceae,tbicxdznwgyualmevfok,22/11/2021,25/03/2022,784,228
413,Lecanoraceae,wlbthzdsnqvp,28/04/2022,22/01/2022,843,320
414,Orchidaceae,mingehsuzcbdkpvtqwl,13/05/2022,16/12/2021,454,328
415,Polemoniaceae,kfwgnraxlvqpzhyom,03/05/2022,01/09/2021,566,284
416,Rosaceae,gnqazjovibr,13/08/2021,20/06/2021,269,187
417,Poaceae,auhrpbxgfv,08/05/2022,20/10/2021,484,451
418,Parmeliaceae,zjubdiyprtwglm,05/04/2022,28/09/2021,399,772
419,Cyperaceae,pnmiwkgerxloc,05/07/2021,21/09/2021,231,61
420,Asteraceae,iybsngdcuvrxa,03/10/2021,21/12/2021,109,29
421,Cyperaceae,rzxlbvfcoshpjudqtyg,13/03/2022,26/03/2022,320,734
422,Rosaceae,bipslutfxhr,28/12/2021,25/08/2021,673,885
423,Asteraceae,yhkagxruemsn,23/04/2022,14/07/2021,283,730
424,Pedaliaceae,gjkytvpqeunaidz,28/08/2021,30/09/2021,335,534
425,Asteraceae,ymvpsiltarunhq,26/11/2021,16/10/2021,514,345
426,Liliaceae,coyagislne,17/09/2021,17/08/2021,683,261
427,Poaceae,igrscobqufwxmzy,23/11/2021,01/10/2021,19,191
428,Euphorbiaceae,nkdjxgahqezstuil,03/05/2022,12/08/2021,107,255
429,Campanulaceae,wbtdiyjgcl,18/12/2021,06/10/2021,574,747
430,Polytrichaceae,jytmluqcfrgwpsdvn,08/01/2022,11/06/2022,181,573
431,Arthoniaceae,pnsckwgyrtlv,22/11/2021,10/08/2021,3,339
432,Anacardiaceae,rdyjluzmigwfnovae,08/08/2021,21/06/2021,720,154
433,Polemoniaceae,fgbopjikylstaznhw,09/02/2022,09/04/2022,713,946
434,Bignoniaceae,jxcqnspefwvatdho,25/07/2021,14/01/2022,841,994
435,Liliaceae,itafkcqblwsjhgzu,10/11/2021,29/12/2021,407,121
436,Fabaceae,lkyhiecfaxgpu,25/05/2022,12/08/2021,459,678
437,Caryophyllaceae,idgfztxrjasnqvoy,22/01/2022,05/05/2022,867,875
438,Poaceae,tsbynpohqkegrfzw,21/06/2021,07/07/2021,303,278
439,Campanulaceae,dhrcvbkjtaiqumfgsxn,12/09/2021,19/12/2021,876,347
440,Rubiaceae,geidlfshybaukzxvo,09/12/2021,22/12/2021,569,557
441,Rosaceae,prwmzteiglydfuhovxqb,23/06/2021,16/01/2022,114,485
442,Isoetaceae,muktbgfzahojiqvlpyrx,13/10/2021,01/08/2021,659,701
443,Polemoniaceae,iedcgkwhuatm,24/04/2022,28/02/2022,781,508
444,Cyperaceae,hombjaqnskdrepclzt,23/11/2021,12/02/2022,962,356
445,Amaranthaceae,snqtklrcbgohm,25/02/2022,26/08/2021,404,389
446,Chenopodiaceae,oyizhnafjgkxwlmrcvup,21/02/2022,18/12/2021,506,259
447,Linaceae,cumlzoshrinqaydvfge,09/02/2022,13/08/2021,817,567
448,Linaceae,tbkyvfszpixwhje,19/04/2022,25/10/2021,441,253
449,Polemoniaceae,lcvniuoqadxb,15/06/2021,03/01/2022,793,651
450,Cyperaceae,tvchisefpxjkbzol,15/06/2021,31/07/2021,671,460
451,Rosaceae,euvdiobxjwlpzyck,10/10/2021,28/08/2021,169,792
452,Simaroubaceae,exqtimgzjvof,15/02/2022,09/07/2021,728,756
453,Verrucariaceae,fgequnacoxytrpdsbvz,24/03/2022,14/01/2022,797,823
454,Fabaceae,brkpyxhjzqa,18/04/2022,16/09/2021,240,723
455,Poaceae,waexdqisvcoh,10/11/2021,03/01/2022,331,871
456,Asteraceae,eqarjspxzi,09/02/2022,03/04/2022,95,479
457,Asteraceae,smxtnbpzoawfyv,30/12/2021,14/02/2022,731,385
458,Liliaceae,eoxwapqjmrtd,03/07/2021,07/01/2022,60,818
459,Lamiaceae,remtufpshnacliwxbjqv,24/01/2022,30/08/2021,168,432
460,Alismataceae,qdtynfzhbpju,16/05/2022,15/11/2021,511,455
461,Poaceae,ydxnkmebjzlrof,13/12/2021,13/03/2022,247,535
462,Asteraceae,oimxuyzlenvph,14/01/2022,06/11/2021,336,988
463,Caprifoliaceae,qakyndctujelwshg,26/06/2021,23/03/2022,878,431
464,Fabaceae,ufadcietjvkwsbprngh,20/04/2022,14/05/2022,631,265
465,Scrophulariaceae,swculxbyiaoehnkvm,12/08/2021,13/12/2021,213,554
466,Hymenophyllaceae,pklmxvcseoqiwuz,20/07/2021,14/06/2021,113,762
467,Lamiaceae,ngtayejwbcvplofrhq,25/12/2021,16/09/2021,616,457
468,Lamiaceae,ynxmgqwbkadilerzspv,11/09/2021,05/04/2022,955,870
469,Verbenaceae,xfvhygcjdqptikwoesmb,16/02/2022,05/10/2021,308,527
470,Onagraceae,crphzasxuf,24/05/2022,01/11/2021,588,97
471,Asteraceae,mvcxisnofgbdpekha,14/05/2022,28/01/2022,65,751
472,Boraginaceae,yctidjesmgaxbp,29/06/2021,08/05/2022,579,224
473,Fabaceae,cfozqdunhswgielk,26/01/2022,19/01/2022,350,539
474,Asteraceae,wteycofaixpvndkzhr,22/03/2022,21/07/2021,613,140
475,Asteraceae,hmobzcanfwqve,15/05/2022,29/12/2021,741,903
476,Asteraceae,kjmyopzeinqu,01/02/2022,05/09/2021,686,90
477,Asteraceae,pzvhcjotywsqmfuek,29/11/2021,20/02/2022,118,877
478,Polygonaceae,ublmnaedxpyckifrzgot,31/12/2021,12/04/2022,201,538
479,Bromeliaceae,gybfumwodkvapqieln,28/06/2021,29/06/2021,512,238
480,Grossulariaceae,mctebzslfaniphqgk,24/09/2021,16/08/2021,942,621
481,Poaceae,ndmwcqbelaogfu,15/06/2021,25/02/2022,733,434
482,Polygonaceae,wxytvqumniofj,07/11/2021,28/05/2022,606,741
483,Poaceae,nluzqcwabo,19/05/2022,06/08/2021,572,464
484,Capparaceae,ikjbxqrosndwvem,02/03/2022,19/03/2022,590,932
485,Cladoniaceae,sebxvnkzoirypadmtucf,13/02/2022,25/04/2022,483,354
486,Onagraceae,bflnogasrmyep,12/11/2021,29/05/2022,917,788
487,Liliaceae,aysmpdkeqrfxgcbv,02/12/2021,01/07/2021,195,192
488,Caryophyllaceae,mkqhnxsdacbygpo,25/04/2022,01/04/2022,112,926
489,Asteraceae,kpaynhdetwiqxbrjmg,11/07/2021,02/06/2022,885,684
490,Scrophulariaceae,jdirsnxtqou,27/05/2022,23/02/2022,751,918
491,Asteraceae,janoifkyxdsbrmchvp,30/11/2021,30/09/2021,58,139
492,Fabaceae,dmsvprixzwhqlgafy,30/08/2021,14/06/2021,642,924
493,Brassicaceae,mwirktyqefxbjpac,09/06/2022,08/05/2022,663,387
494,Rhamnaceae,hbgamxyzou,14/09/2021,20/03/2022,38,406
495,Verbenaceae,dsmtvouyjfgrkzip,07/08/2021,08/05/2022,228,974
496,Arecaceae,blawnqdkmxiog,06/09/2021,28/02/2022,96,188
497,Rosaceae,bpgwftvdkuhacynmszr,30/06/2021,21/08/2021,54,173
498,Acarosporaceae,gnjubesdtl,30/06/2021,07/11/2021,324,170
499,Asteraceae,dfotcligvwxrh,31/03/2022,15/03/2022,429,348
500,Melastomataceae,xreultaonsipfb,23/05/2022,02/07/2021,930,60
501,Apiaceae,wdbrshgklmfo,04/02/2022,02/02/2022,504,690
502,Poaceae,vkwafbprjuct,05/07/2021,31/10/2021,106,773
503,Uncertain Ascomycota Family,kxzegapcmtyuvf,29/01/2022,23/05/2022,621,498
504,Asclepiadaceae,oyjthfaemcnuxqgzvpd,28/10/2021,07/02/2022,992,982
505,Asteraceae,gyqnbjfrimwo,01/03/2022,13/02/2022,218,602
506,Poaceae,fgkxphndjycabovetqs,01/04/2022,13/05/2022,502,610
507,Boraginaceae,yxqgfnlbiwaeu,06/08/2021,19/06/2021,523,194
508,Fabaceae,zajfwcmqliket,15/08/2021,30/12/2021,718,782
509,Polemoniaceae,ydbjqgvlxf,17/09/2021,21/11/2021,151,151
510,Asteraceae,zxwfuoaqrd,09/07/2021,15/10/2021,995,516
511,Liliaceae,opzngdbcjl,30/11/2021,14/07/2021,486,436
512,Scrophulariaceae,npmfrvjschexiatwyb,07/12/2021,28/05/2022,378,722
513,Dicranaceae,kptvauqoibxwsmnfyj,28/02/2022,18/06/2021,122,995
514,Liliaceae,qpdbxswfrtgcn,24/11/2021,24/05/2022,632,88
515,Rosaceae,akgduoqvnpefc,14/06/2021,04/08/2021,494,220
516,Asteraceae,znamtyuhxwp,15/07/2021,14/08/2021,373,496
517,Malpighiaceae,dvjwlpsaiz,23/11/2021,25/05/2022,232,703
518,Polygonaceae,mnuoqyaezbgv,16/10/2021,12/12/2021,167,998
519,Poaceae,bgryxlnztjc,24/12/2021,16/11/2021,534,370
520,Aulacomniaceae,ozuafmgctkesbqdy,29/01/2022,28/08/2021,761,111
521,Plantaginaceae,thbmnogcrwie,05/07/2021,22/08/2021,745,117
522,Bignoniaceae,raemkpwqxdogti,04/02/2022,12/09/2021,887,855
523,Scrophulariaceae,zecwnbfojgridtsvmx,02/11/2021,27/02/2022,312,537
524,Polygonaceae,fptcxyqjvisk,02/11/2021,04/03/2022,250,94
525,Nyctaginaceae,kwhbeaougjyrlxtfzd,02/05/2022,28/05/2022,389,630
526,Viscaceae,zbmehraqolixwfgd,09/12/2021,02/04/2022,406,669
527,Ericaceae,vtqfhecxknurpa,12/06/2021,16/11/2021,33,679
528,Papaveraceae,zdnasopfibqrlcjmkgt,19/05/2022,16/12/2021,799,410
529,Crassulaceae,tckujmrnbwisfxh,16/05/2022,09/02/2022,245,101
530,Malvaceae,hknalqvfwmcb,29/08/2021,23/11/2021,926,369
531,Porpidiaceae,lfxeypwbkj,14/06/2021,10/10/2021,438,199
532,Cuscutaceae,fgrentzudjpmq,04/02/2022,19/10/2021,205,876
533,Polygonaceae,efctqusarbm,19/05/2022,26/08/2021,273,556
534,Rhizocarpaceae,wvxnqfiozlmurk,26/10/2021,21/03/2022,985,302
535,Pteridaceae,nltrqbxieauodm,19/08/2021,29/06/2021,800,239
536,Solanaceae,hswgtkdfmpqeyxu,28/04/2022,22/10/2021,6,984
537,Meliaceae,hzsrlygwdq,27/05/2022,10/11/2021,770,987
538,Ranunculaceae,fpxvbrelhjtomwusigya,03/10/2021,23/12/2021,548,650
539,Verrucariaceae,nupxcmbkqytgosiadfwr,09/09/2021,31/01/2022,601,805
540,Malvaceae,knlwvfthdasyiumexgjo,20/03/2022,28/07/2021,463,24
541,Asteraceae,rstzfiogabn,16/09/2021,28/07/2021,90,73
542,Juglandaceae,bahmuxkwrfpts,22/03/2022,02/12/2021,938,717
543,Salicaceae,upaigmvoxdk,19/11/2021,22/06/2021,563,765
544,Bryaceae,bopnuwgtmkcvrayjsld,15/07/2021,10/04/2022,846,615
545,Fabaceae,rapwiqgedyktzx,23/04/2022,21/06/2021,18,141
546,Chenopodiaceae,wdntlujmkxabhoyq,02/03/2022,27/02/2022,794,353
547,Gesneriaceae,hjyuskvbnctglp,01/10/2021,17/06/2021,57,132
548,Poaceae,dejavgrumbowlkhzqtcx,05/07/2021,16/04/2022,292,84
549,Fabaceae,fcekjnmvpxubygdar,16/08/2021,31/07/2021,275,900
550,Polygonaceae,rnkxwvgbmd,02/07/2021,09/04/2022,362,430
551,Casuarinaceae,zhsirxlvumcybg,20/04/2022,02/11/2021,141,977
552,Asteraceae,cudtirehnzkwvgqlp,22/10/2021,31/05/2022,578,325
553,Umbilicariaceae,fkoelwticxazrm,18/05/2022,18/06/2021,907,289
554,Rubiaceae,gqzakuifopxbjdcnhv,20/10/2021,10/11/2021,903,807
555,Moraceae,slvnrmfhixkjpuedgq,24/03/2022,09/11/2021,310,281
556,Ulvaceae,usvqnptdoye,08/01/2022,06/07/2021,625,225
557,Asteraceae,qyvkgpntlaxfwdmehzrc,18/10/2021,21/03/2022,500,985
558,Salicaceae,jizaxgklopvqnefdbwts,23/09/2021,21/12/2021,14,62
559,Fabaceae,rqlbjigwdehnyzvk,04/04/2022,08/05/2022,489,815
560,Euphorbiaceae,rdabsujctwholeiygmx,14/05/2022,26/02/2022,977,420
561,Parmeliaceae,cknfdxrliagjowpb,08/01/2022,18/10/2021,640,990
562,Crassulaceae,jumowtfrivxbpnqdl,04/02/2022,30/01/2022,808,28
563,Lecideaceae,hpzxioatvqunkwlrj,14/02/2022,01/05/2022,875,341
564,Rubiaceae,rsfljcvwytgzo,28/01/2022,24/06/2021,820,453
565,Physciaceae,ndczytvbxwpiqfe,21/09/2021,13/03/2022,190,473
566,Orchidaceae,jlmvwrfaqiztdhx,02/06/2022,19/10/2021,134,923
567,Orchidaceae,imrszbjakfqxedp,07/08/2021,27/03/2022,877,891
568,Bryaceae,oabinfxsmhcu,08/11/2021,01/04/2022,645,750
569,Dryopteridaceae,wtbpimcezfgynov,28/04/2022,28/06/2021,644,147
570,Asteraceae,cztmgxkljyhd,16/07/2021,08/03/2022,698,138
571,Poaceae,otbarpzmwgyl,27/10/2021,12/03/2022,415,93
572,Grossulariaceae,javhftlsmyki,23/09/2021,14/03/2022,638,965
573,Acarosporaceae,fhtdzwcvuiyklprxjaon,27/10/2021,10/04/2022,819,757
574,Asteraceae,tgvlfebhmi,21/08/2021,18/10/2021,158,605
575,Asteraceae,digqvuhxstpncrj,21/06/2021,27/01/2022,974,268
576,Fabaceae,pvnihcljxery,23/06/2021,28/12/2021,436,359
577,Asteraceae,rkylwvqgazsxtud,26/10/2021,13/03/2022,835,105
578,Juncaceae,vifdyncogezqrxbmshpu,28/09/2021,15/03/2022,323,319
579,Polemoniaceae,rtkjpihedybgxmfcos,12/03/2022,16/04/2022,174,520
580,Poaceae,fgbcjkyzxdvqsoupe,01/03/2022,21/01/2022,301,471
581,Arctomiaceae,qdzxbrhotfncsmp,10/04/2022,15/09/2021,637,297
582,Pinaceae,kabpdfxujnrvqhyc,02/12/2021,06/01/2022,694,637
583,Asteraceae,arldhuibtfpqjkxgme,16/09/2021,14/01/2022,433,880
584,Saxifragaceae,cldnwoerkqfbtisxj,04/04/2022,02/01/2022,865,360
585,Cyperaceae,plhgjfkstxvi,24/06/2021,16/12/2021,469,209
586,Rosaceae,jpmtefzhwbdrisk,26/08/2021,20/05/2022,674,338
587,Baeomycetaceae,fchnyidoburxqmkglz,06/10/2021,29/12/2021,696,308
588,Fabaceae,tevjilzsqundaprymof,09/04/2022,06/12/2021,864,716
589,Rosaceae,rjiqtkgwhxdczauylf,16/07/2021,01/01/2022,997,588
590,Orobanchaceae,nqlwumgbsoxkyrhtepd,30/12/2021,29/12/2021,608,692
591,Sterculiaceae,tlvgenophdxzk,28/02/2022,10/10/2021,102,279
592,Scrophulariaceae,vdogixusmqykwrfl,06/10/2021,30/03/2022,740,708
593,Rubiaceae,achodxgewvj,12/12/2021,22/01/2022,699,574
594,Scrophulariaceae,qryhamsjfluik,11/01/2022,23/12/2021,791,565
595,Apiaceae,frdsvqjeph,13/01/2022,25/04/2022,988,131
596,Caryophyllaceae,yrlnawtjbegfkhxvpqi,13/01/2022,23/03/2022,147,685
597,Rimulariaceae,gdtaphyluovcqefnx,21/04/2022,29/01/2022,618,776
598,Asteraceae,rtvdaoxgewjipukzbnys,18/02/2022,07/06/2022,124,174
599,Fabaceae,oyklxcnbmtfshei,24/04/2022,23/08/2021,866,641
600,Polemoniaceae,weubmdxvpftznc,04/10/2021,18/05/2022,545,260
601,Caprifoliaceae,tknxclpswvyqjhzm,03/07/2021,31/07/2021,693,179
602,Asteraceae,zrwpnovheg,11/12/2021,15/10/2021,774,811
603,Asteraceae,xgtjpbzsorqde,22/08/2021,25/11/2021,872,449
604,Euphorbiaceae,uenjpmlbyarzvtqcsdgx,12/09/2021,28/08/2021,51,379
605,Portulacaceae,qtmikexzgacpjd,06/02/2022,23/08/2021,802,505
606,Asclepiadaceae,oislufmyjdtrgcz,12/06/2021,14/09/2021,768,528
607,Orchidaceae,hclkztynrsajdxmufpv,15/08/2021,28/02/2022,838,212
608,Catillariaceae,fwhvlkqzpydertas,10/02/2022,01/07/2021,186,810
609,Rhamnaceae,tlbxyfwhuvzqprjocd,14/11/2021,19/03/2022,300,589
610,Caryophyllaceae,tynrgbvkfelmaic,16/08/2021,08/09/2021,669,189
611,Liliaceae,ugylhwxvztoksnc,19/12/2021,07/01/2022,297,461
612,Asteraceae,hklbzwyepgc,19/07/2021,05/09/2021,605,830
613,Moraceae,imurypxdwsak,02/01/2022,13/12/2021,896,4
614,Krameriaceae,tmxskhovcnuqyifljepr,04/10/2021,04/03/2022,408,541
615,Apiaceae,uwexlstqgzovamknb,18/06/2021,17/07/2021,889,937
616,Parmeliaceae,seofxhkngvzdtr,20/01/2022,05/09/2021,529,956
617,Onagraceae,czoghkfbslwdnmxjtyvq,22/04/2022,21/08/2021,782,358
618,Lycopodiaceae,okgjsaehpidnx,22/02/2022,04/05/2022,747,728
619,Umbilicariaceae,cdxiujzsvnhlkeqrt,28/05/2022,26/12/2021,810,443
620,Asteraceae,qksrxouzmgcntidhy,17/01/2022,18/08/2021,895,382
621,Parmeliaceae,lkuntqvmxbzahey,01/07/2021,25/06/2021,365,144
622,Geraniaceae,dsigmjxceotpr,21/03/2022,11/10/2021,170,940
623,Poaceae,acwkjudnbygs,05/06/2022,02/09/2021,140,584
624,Orchidaceae,sonfmegxik,07/09/2021,12/04/2022,990,401
625,Cistaceae,uqjxltrihepdkw,17/01/2022,21/11/2021,128,634
626,Scrophulariaceae,bneyhmfcpwgz,23/07/2021,13/09/2021,314,851
627,Liliaceae,lvydxahtmkjfcpswz,25/03/2022,06/11/2021,857,864
628,Parmeliaceae,xbvsinkcgl,27/06/2021,17/01/2022,921,242
629,Asteraceae,soherxqmdabtnuzvj,11/09/2021,10/12/2021,677,125
630,Asteraceae,itpnjgqekmcxzfvbawur,10/05/2022,02/03/2022,918,771
631,Poaceae,hcuvlodpsraw,02/12/2021,21/04/2022,121,733
632,Collemataceae,vlwcnxbrimupejqdzh,18/02/2022,25/04/2022,236,350
633,Apocynaceae,mhoxnygliwks,27/01/2022,08/03/2022,652,162
634,Potamogetonaceae,zytncjgudhvex,07/03/2022,10/08/2021,711,306
635,Fabaceae,tcsnxpeziwal,24/07/2021,30/09/2021,412,586
636,Fabaceae,pziuyowqjetds,12/08/2021,03/09/2021,496,56
637,Physciaceae,jlpdriheyamcguxsw,10/01/2022,03/11/2021,359,691
638,Campanulaceae,svfyjmpdxtbklrneiwoa,26/02/2022,29/10/2021,348,8
639,Physciaceae,mbjudthgwel,28/09/2021,08/06/2022,493,942
640,Pinaceae,frtaymnuvwbexikhdg,16/12/2021,28/09/2021,67,973
641,Fabaceae,sgqxvujbwioazhdptf,27/08/2021,16/09/2021,42,646
642,Lycopodiaceae,zeibgtkyhlprv,18/01/2022,05/02/2022,409,304
643,Arthoniaceae,umhbspedfloy,22/11/2021,01/12/2021,63,58
644,Ranunculaceae,wmhpozkljiu,21/08/2021,04/07/2021,790,599
645,Rosaceae,hjinzydowpgacq,23/09/2021,11/03/2022,64,908
646,Poaceae,abypgdrkqxtihjnfl,20/11/2021,13/08/2021,490,949
647,Poaceae,luzomrxwfkpabhy,07/02/2022,30/12/2021,856,291
648,Brassicaceae,tcknwiyjrq,01/08/2021,23/04/2022,994,555
649,Asteraceae,tzpsuexqgfkicmboaly,08/02/2022,14/07/2021,424,812
650,Asteraceae,upxwagrihoq,02/09/2021,25/12/2021,941,75
651,Cyperaceae,sgurxcitdoyvm,28/09/2021,27/05/2022,276,386
652,Theophrastaceae,xyigotjfnlb,15/02/2022,20/03/2022,153,786
653,Chenopodiaceae,mbhqokpewutdjca,02/03/2022,12/02/2022,661,661
654,Rosaceae,hqtynjxzwalbgkud,09/06/2022,23/03/2022,592,314
655,Asteraceae,xuvfhmknqrbtcesygal,01/10/2021,06/06/2022,176,620
656,Scrophulariaceae,vuidxlzkycbrf,28/04/2022,03/02/2022,619,408
657,Fabaceae,yvmhdxcrfjnwlgekpqo,12/07/2021,04/08/2021,541,51
658,Asteraceae,kioxzwqshumbnfarcd,10/06/2022,12/08/2021,357,907
659,Saxifragaceae,iuzcywhfmltvjegqnd,18/10/2021,05/12/2021,925,571
660,Amblystegiaceae,vkmpeixbzonlgtwsjq,22/01/2022,06/05/2022,719,633
661,Pottiaceae,marotlpkbycgf,15/08/2021,16/04/2022,13,832
662,Polemoniaceae,wxnimrvyzuspcdgfq,09/04/2022,18/12/2021,221,202
663,Asteraceae,tolqhgmzyfjndspae,08/10/2021,06/03/2022,27,779
664,Polygonaceae,glikqrvdtb,24/06/2021,06/11/2021,75,376
665,Saxifragaceae,ilhykjuofwpgvbqanc,15/08/2021,25/01/2022,157,798
666,Selaginellaceae,hultgwbdykv,23/08/2021,16/01/2022,516,22
667,Physciaceae,nzsroufgikdvpbqch,30/01/2022,11/11/2021,155,67
668,Apiaceae,hkqneuyfjtgori,25/09/2021,12/08/2021,458,157
669,Ranunculaceae,rbfvkhiypezq,20/08/2021,19/03/2022,159,334
670,Anacardiaceae,ogaebkdirc,02/08/2021,06/04/2022,505,981
671,Annonaceae,sohkunqdzjaprcygvbx,01/01/2022,09/02/2022,900,901
672,Magnoliaceae,lcsinkjgwabodhztqmr,31/07/2021,16/08/2021,177,452
673,Scouleriaceae,zrgteqfcmk,08/01/2022,16/01/2022,750,858
674,Asteraceae,ngorkwmcdaytxu,18/12/2021,02/05/2022,542,363
675,Rosaceae,avcwfjdzshqykptr,20/02/2022,10/04/2022,267,970
676,Asteraceae,iotanupvbjrfmhkyd,30/09/2021,07/04/2022,692,39
677,Cyperaceae,lfchdsxnkrugebvow,16/02/2022,28/03/2022,492,25
678,Liliaceae,dihvlynaqewkmtcujgsp,20/07/2021,02/01/2022,78,295
679,Scrophulariaceae,nlmuyifzrtpbc,07/09/2021,01/03/2022,756,825
680,Bromeliaceae,fwkztsxvnyjloiarbugd,17/12/2021,10/02/2022,840,193
681,Asteraceae,ahmvxgptqrdyflzsec,08/04/2022,09/12/2021,927,761
682,Pteridaceae,iajygpzumknhrobcte,09/12/2021,15/08/2021,623,626
